budget,revenue,title,id,release_date
1.0,1.0,The Letters,218275,2015-12-04
2.0,1.0,Mute Witness,48787,1995-09-28
592.0,1.0,The Merry Widow,53230,1925-08-26
20000000.0,1.0,Anne Frank Remembered,51352,1995-06-08
20000000.0,1.0,Washington Square,45019,1997-10-10
20000000.0,1.0,Belizaire the Cajun,274253,1986-06-13
20000000.0,1.0,Extreme Days,45864,2001-09-28
20000000.0,1.0,The Lonely Lady,114394,1983-10-02
200000.0,3.0,Dr. Horrible's Sing-Along Blog,14301,2008-07-15
20000000.0,3.0,The Sentinel,18196,1977-01-07
20000000.0,3.0,Last Summer,38096,1969-06-10
30.0,4.0,Man Trouble,39472,1992-07-17
344.0,4.0,American Adobo,50819,2001-09-29
1.0,5.0,East of Eden,220,1955-03-09
6.0,5.0,Miami Rhapsody,17402,1995-01-27
20000000.0,5.0,Last Dance,46063,1996-05-02
6400000.0,6.0,Never Talk to Strangers,48781,1995-10-20
2000000.0,7.0,Dreaming of Joseph Lees,108346,1999-10-29
20000000.0,7.0,Star Kid,54007,1997-01-16
20000000.0,7.0,He-Man and She-Ra: The Secret of the Sword,19386,1985-01-01
6.0,8.0,Pollock,12509,2000-09-06
20000000.0,8.0,Satisfaction,17126,1988-02-12
20000000.0,8.0,Lover Come Back,40894,1961-11-20
20000000.0,9.0,Gladiator 1992,16219,1992-03-06
20000000.0,10.0,Bats,10496,1999-10-22
20000000.0,10.0,Elektra Luxx,56272,2010-03-14
11.0,11.0,F.I.S.T.,28932,1978-04-26
16000000.0,12.0,The Cookout,18475,2004-09-03
23000000.0,12.0,Chasing Liberty,14844,2004-01-09
25.0,13.0,Angela's Ashes,10397,1999-12-25
20000000.0,15.0,Dance with Me,17915,1998-08-21
8.0,16.0,The Prophecy,11980,1995-09-01
10000000.0,18.0,Deadfall,33927,1993-10-08
20000000.0,18.0,Windwalker,85548,1980-12-12
118.0,19.0,"Same Time, Next Year",37672,1978-04-23
8.0,21.0,Starter for 10,14055,2006-09-13
12000000.0,23.0,In the Cut,10944,2003-09-09
20000000.0,24.0,Dream for an Insomniac,32284,1996-04-18
4.0,25.0,A Farewell to Arms,22649,1932-12-08
4.0,29.0,Madonna: Truth or Dare,10174,1991-05-10
2000000.0,30.0,Zyzzyx Road,41393,2006-02-25
20000000.0,30.0,The Getaway,2087,1994-02-11
20000000.0,32.0,Black Sheep,13997,1996-02-01
500.0,41.0,Assisted Living,193704,2005-02-02
20000000.0,43.0,The Wedding Party,74137,1969-04-09
20000000.0,44.0,12 O’Clock Boys,169853,2013-01-31
20000000.0,51.0,My Baby's Daddy,26710,2004-01-09
20000000.0,60.0,Billy Gardell: Halftime,134680,2011-02-05
20000000.0,80.0,Waking Sleeping Beauty,47813,2009-09-05
50.0,83.0,The Immortals,29231,1995-10-05
5.0,85.0,Every Which Way But Loose,15417,1978-12-19
20000000.0,88.0,Blood on the Moon,29966,1948-11-09
20000000.0,97.0,"The Life and Death of 9413, a Hollywood Extra",115893,1928-06-16
1.0,100.0,Lost & Found,39964,1999-04-23
30.0,103.0,Rugrats in Paris: The Movie,16340,2000-09-14
20000000.0,105.0,The Last Time I Saw Paris,57575,1954-01-01
20000000.0,121.0,Sunrise: A Song of Two Humans,631,1927-09-23
20000000.0,125.0,A Band Called Death,137563,2013-06-27
20000000.0,161.0,Last Days in Vietnam,250761,2014-09-05
250.0,203.0,I Married a Strange Person!,51942,1998-08-28
20000000.0,252.0,Satanic,400411,2016-07-01
20000000.0,259.0,Alan & Naomi,266525,1992-01-31
450.0,288.0,Sunday,70805,1997-08-27
20000000.0,344.0,I Think I Do,19797,1998-04-10
20000000.0,422.0,2:22,269795,2017-06-29
20000000.0,500.0,Gary Gulman: It's About Time,396109,2016-05-01
20000000.0,525.0,Meeting Evil,94204,2012-05-03
337.0,551.0,The Mysterious Lady,108923,1928-08-04
20000000.0,623.0,Safety Last!,22596,1923-04-01
20000000.0,809.0,I Spit on Your Grave 2,207768,2013-08-25
280.0,831.0,Star of Midnight,53863,1935-04-19
20000000.0,1081.0,The Butterfly Room,101176,2012-08-04
20000000.0,1279.0,An Invisible Sign,59435,2010-10-06
1.0,1378.0,"Love, Wedding, Marriage",59296,2011-06-03
1200000.0,1404.0,Poor White Trash,44895,2000-06-16
20000000.0,1469.0,The Package,146578,2013-02-09
130000.0,1596.0,Running Time,81048,1997-12-18
20000000.0,1910.0,American Strays,136311,1996-09-12
1500000.0,1938.0,Best Man Down,138222,2012-10-20
20000000.0,2303.0,Men Cry Bullets,214735,1998-10-08
20000000.0,2710.0,Julia,278632,2014-10-14
20000000.0,2756.0,V/H/S: Viral,267806,2014-10-23
5000000.0,2970.0,Philadelphia Experiment II,35610,1993-11-12
2500000.0,3003.0,About Cherry,94901,2012-02-14
3000000.0,3010.0,ATM,89691,2012-02-17
15000.0,3274.0,Eegah,31287,1962-06-08
10500000.0,3451.0,Aftermath,390051,2017-04-06
20000000.0,4187.0,A Case of You,174316,2013-11-06
10000000.0,4500.0,The Duel,333386,2016-06-24
20000000.0,4505.0,Synchronicity,347945,2015-07-22
20000000.0,4631.0,Ashby,330112,2015-04-19
6000000.0,5206.0,The Good Doctor,65650,2011-01-01
20000000.0,5965.0,The Grace Lee Project,185158,2005-03-11
20000000.0,6075.0,Barely Lethal,248574,2015-04-30
7000000.0,6147.0,Sweetwater,158916,2013-01-24
20000000.0,6297.0,Don's Plum,37857,2001-02-10
20000000.0,6420.0,Some Velvet Morning,174341,2013-12-10
20000000.0,6700.0,Lovesong,371447,2017-02-17
20000000.0,7000.0,Too Late,342165,2016-03-25
20000000.0,7171.0,ABCs of Death 2,193726,2014-10-02
1000000.0,7202.0,Special,13856,2006-01-30
20000000.0,7205.0,I Am Ali,293262,2014-10-10
2000000.0,7306.0,Stolen,38850,2009-10-10
20000000.0,7965.0,One Small Hitch,166879,2013-02-14
20000000.0,8020.0,Wrecked,50838,2010-12-04
20000000.0,8251.0,Before I Disappear,253254,2014-10-11
20000000.0,8265.0,Life Partners,260001,2014-12-05
20000000.0,8768.0,Smiley Face,13168,2007-01-21
10000000.0,9069.0,Janky Promoters,25186,2009-10-16
20000000.0,9090.0,Eight Days a Week,15209,1997-01-17
20000000.0,9188.0,Frank & Lola,316021,2016-12-09
20000000.0,9195.0,Ghost Team One,159638,2013-01-20
4000000.0,9221.0,The Sacrament,211067,2013-09-02
1000000.0,9318.0,Honeymoon,254191,2014-09-12
8500000.0,9747.0,Welcome to the Punch,93828,2013-03-15
