index,budget,revenue,title,imdb_id,release_date,gross,budget_new,opening_weekend,cum_worldwide
5316,1.0,1.0,The Letters,tt1445208,2015-12-04,"{'Budget': '$20,000,000 (estimated)', 'Opening Weekend United States': '$700,683, 06 Dec 2015'}",20000000 ,700683,1.0
85,2.0,1.0,Mute Witness,tt0110604,1995-09-28,"{'Budget': '$2,000,000 (estimated)'}",2000000 ,1.0,1.0
4160,592.0,1.0,The Merry Widow,tt0016104,1925-08-26,"{'Budget': '$608,016 (estimated)', 'Cumulative Worldwide Gross': '$4,142,000'}",608016 ,1.0,4142000
54,20000000.0,1.0,Anne Frank Remembered,tt0112373,1995-06-08,None,20000000.0,1.0,1.0
642,20000000.0,1.0,Washington Square,tt0120481,1997-10-10,"{'Opening Weekend United States': '$14,352, 05 Oct 1997'}",20000000.0,14352,1.0
1027,20000000.0,1.0,Belizaire the Cajun,tt0090710,1986-06-13,"{'Opening Weekend United States': '$4,084, 15 Jun 1986'}",20000000.0,4084,1.0
1933,20000000.0,1.0,Extreme Days,tt0245891,2001-09-28,"{'Opening Weekend United States': '$522,813, 30 Sep 2001'}",20000000.0,522813,1.0
5384,20000000.0,1.0,The Lonely Lady,tt0085863,1983-10-02,"{'Budget': '$5,000,000 (estimated)', 'Opening Weekend United States': '$1,223,220, 02 Oct 1983'}",5000000 ,1223220,1.0
3762,200000.0,3.0,Dr. Horrible's Sing-Along Blog,tt1227926,2008-07-15,None,200000.0,3.0,3.0
2800,20000000.0,3.0,The Sentinel,tt0076683,1977-01-07,"{'Budget': '$3,700,000 (estimated)'}",3700000 ,3.0,3.0
2860,20000000.0,3.0,Last Summer,tt0064573,1969-06-10,"{'Budget': '$780,000 (estimated)'}",780000 ,3.0,3.0
2944,30.0,4.0,Man Trouble,tt0104804,1992-07-17,"{'Budget': '$30,000,000 (estimated)'}",30000000 ,4.0,4.0
2009,344.0,4.0,American Adobo,tt0294289,2001-09-29,None,344.0,4.0,4.0
371,1.0,5.0,East of Eden,tt0048028,1955-03-09,None,1.0,5.0,5.0
126,6.0,5.0,Miami Rhapsody,tt0113808,1995-01-27,None,6.0,5.0,5.0
293,20000000.0,5.0,Last Dance,tt0116827,1996-05-02,None,20000000.0,5.0,5.0
1150,6400000.0,6.0,Never Talk to Strangers,tt0113965,1995-10-20,"{'Budget': '$6,400,000 (estimated)'}",6400000 ,6.0,6.0
1239,2000000.0,7.0,Dreaming of Joseph Lees,tt0144178,1999-10-29,"{'Budget': 'GBP2,000,000 (estimated)', 'Opening Weekend United States': '$7,680, 31 Oct 1999'}",GBP2000000 ,7680,7.0
686,20000000.0,7.0,Star Kid,tt0120478,1997-01-16,"{'Budget': '$12,000,000 (estimated)', 'Opening Weekend United States': '$3,033,609, 19 Jan 1998'}",12000000 ,3033609,7.0
