id,budget,revenue,title,imdb_id,release_date,gross,budget_new,budget_final,opening_weekend,cum_worldwide,revenue_final
218275,1,1,The Letters,tt1445208,2015-12-04,"{'Budget': '$20,000,000 (estimated)', 'Opening Weekend United States': '$700,683, 06 Dec 2015'}",20000000,20000000,700683,1,700683
48787,2,1,Mute Witness,tt0110604,1995-09-28,"{'Budget': '$2,000,000 (estimated)'}",2000000,2000000,1,1,1125910
53230,592,1,The Merry Widow,tt0016104,1925-08-26,"{'Budget': '$608,016 (estimated)', 'Cumulative Worldwide Gross': '$4,142,000'}",608016,608016,1,4142000,4142000
51352,20000000,1,Anne Frank Remembered,tt0112373,1995-06-08,None,20000000,20000000,1,1,1310200
45019,20000000,1,Washington Square,tt0120481,1997-10-10,"{'Opening Weekend United States': '$14,352, 05 Oct 1997'}",20000000,20000000,14352,1,14352
274253,20000000,1,Belizaire the Cajun,tt0090710,1986-06-13,"{'Opening Weekend United States': '$4,084, 15 Jun 1986'}",20000000,20000000,4084,1,4084
45864,20000000,1,Extreme Days,tt0245891,2001-09-28,"{'Opening Weekend United States': '$522,813, 30 Sep 2001'}",20000000,20000000,522813,1,522813
114394,20000000,1,The Lonely Lady,tt0085863,1983-10-02,"{'Budget': '$5,000,000 (estimated)', 'Opening Weekend United States': '$1,223,220, 02 Oct 1983'}",5000000,5000000,1223220,1,1223220
14301,200000,3,Dr. Horrible's Sing-Along Blog,tt1227926,2008-07-15,None,200000,200000,3,3,
18196,20000000,3,The Sentinel,tt0076683,1977-01-07,"{'Budget': '$3,700,000 (estimated)'}",3700000,3700000,3,3,4000000
38096,20000000,3,Last Summer,tt0064573,1969-06-10,"{'Budget': '$780,000 (estimated)'}",780000,780000,3,3,3000000
39472,30,4,Man Trouble,tt0104804,1992-07-17,"{'Budget': '$30,000,000 (estimated)'}",30000000,30000000,4,4,4096030
50819,344,4,American Adobo,tt0294289,2001-09-29,None,344,,4,4,344992
220,1,5,East of Eden,tt0048028,1955-03-09,None,1,,5,5,
17402,6,5,Miami Rhapsody,tt0113808,1995-01-27,None,6,6000000,5,5,5221281
46063,20000000,5,Last Dance,tt0116827,1996-05-02,None,20000000,20000000,5,5,5939449
48781,6400000,6,Never Talk to Strangers,tt0113965,1995-10-20,"{'Budget': '$6,400,000 (estimated)'}",6400000,6400000,6,6,6858261
108346,2000000,7,Dreaming of Joseph Lees,tt0144178,1999-10-29,"{'Budget': 'GBP2,000,000 (estimated)', 'Opening Weekend United States': '$7,680, 31 Oct 1999'}",GBP2000000,2000000,7680,7,12044
54007,20000000,7,Star Kid,tt0120478,1997-01-16,"{'Budget': '$12,000,000 (estimated)', 'Opening Weekend United States': '$3,033,609, 19 Jan 1998'}",12000000,12000000,3033609,7,3033609
19386,20000000,7,He-Man and She-Ra: The Secret of the Sword,tt0089984,1985-01-01,"{'Budget': '$2,000,000 (estimated)', 'Cumulative Worldwide Gross': '$7,886,848'}",2000000,2000000,7,7886848,7886848
12509,6,8,Pollock,tt0183659,2000-09-06,"{'Budget': '$6,000,000 (estimated)', 'Opening Weekend United States': '$305,744, 18 Feb 2001'}",6000000,6000000,305744,8,305744
17126,20000000,8,Satisfaction,tt0096037,1988-02-12,"{'Opening Weekend United States': '$2,779,275, 14 Feb 1988'}",20000000,20000000,2779275,8,2779275
40894,20000000,8,Lover Come Back,tt0055100,1961-11-20,None,20000000,20000000,8,8,16937969
16219,20000000,9,Gladiator 1992,tt0104346,1992-03-06,"{'Budget': '$20,000,000 (estimated)'}",20000000,20000000,9,9,9223441
10496,20000000,10,Bats,tt0200469,1999-10-22,"{'Budget': '$5,250,000 (estimated)', 'Opening Weekend United States': '$4,717,902, 24 Oct 1999'}",5250000,5250000,4717902,10,4717902
56272,20000000,10,Elektra Luxx,tt1340773,2010-03-14,"{'Opening Weekend United States': '$5,601, 13 Mar 2011'}",20000000,20000000,5601,10,5601
28932,11,11,F.I.S.T.,tt0077531,1978-04-26,"{'Budget': '$11,000,000 (estimated)'}",11000000,11000000,11,11,20388920
18475,16000000,12,The Cookout,tt0380277,2004-09-03,"{'Opening Weekend United States': '$6,219,794, 05 Sep 2004'}",16000000,16000000,6219794,12,6219794
14844,23000000,12,Chasing Liberty,tt0360139,2004-01-09,"{'Budget': '$23,000,000 (estimated)', 'Opening Weekend United States': '$6,081,483, 11 Jan 2004'}",23000000,23000000,6081483,12,6081483
10397,25,13,Angela's Ashes,tt0145653,1999-12-25,"{'Budget': '$50,000,000 (estimated)', 'Opening Weekend United States': '$54,628, 26 Dec 1999'}",50000000,50000000,54628,13,54628
17915,20000000,15,Dance with Me,tt0120576,1998-08-21,"{'Opening Weekend United States': '$4,507,663, 23 Aug 1998'}",20000000,20000000,4507663,15,4507663
