runtime,title_length,log_budget_final,actor_logrev_of_past_2_years_0,actor_logrev_of_past_2_years_1,actor_logrev_of_past_2_years_2,actor_logrev_of_past_2_years_3,actor_logrev_of_past_2_years_4,actor_logrev_of_past_5_years_0,actor_logrev_of_past_5_years_1,actor_logrev_of_past_5_years_2,actor_logrev_of_past_5_years_3,actor_logrev_of_past_5_years_4,actor_logrev_of_past_10_years_0,actor_logrev_of_past_10_years_1,actor_logrev_of_past_10_years_2,actor_logrev_of_past_10_years_3,actor_logrev_of_past_10_years_4,director_logrev_of_past_2_years_0,director_logrev_of_past_5_years_0,director_logrev_of_past_10_years_0,gender_score,has_oscar_winner,popular_genre,first_in_collection,sequel,major,minor,medium,Action,Adventure,Animation,Comedy,Crime,Documentary,Drama,Family,Fantasy,Foreign,History,Horror,Music,Mystery,Romance,Science Fiction,TV Movie,Thriller,War,Western,actor_is_top_100_of_past_2_years_0,actor_is_top_100_of_past_2_years_1,actor_is_top_100_of_past_2_years_2,actor_is_top_100_of_past_2_years_3,actor_is_top_100_of_past_2_years_4,actor_is_top_100_of_past_5_years_0,actor_is_top_100_of_past_5_years_1,actor_is_top_100_of_past_5_years_2,actor_is_top_100_of_past_5_years_3,actor_is_top_100_of_past_5_years_4,actor_is_top_100_of_past_10_years_0,actor_is_top_100_of_past_10_years_1,actor_is_top_100_of_past_10_years_2,actor_is_top_100_of_past_10_years_3,actor_is_top_100_of_past_10_years_4,director_is_top_50_of_past_2_years_0,director_is_top_50_of_past_5_years_0,director_is_top_50_of_past_10_years_0
81.0,2,17.216707939626428,19.243978099758614,19.06165717685416,13.823064951543751,13.823064951543751,13.823064951543751,18.819646325061505,19.06165717685416,12.648335662374995,12.648335662374995,12.648335662374995,18.04731686799057,19.06165717685416,13.286595638311233,17.063908726915095,16.305893187172025,17.256258314448722,17.637575323689862,17.52168363661458,0.0,1.0,0,1,0,0,1,0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
104.0,1,17.98989782785991,19.905204191176257,13.823064951543751,19.22565820205261,13.823064951543751,18.58825294513921,17.550688765736478,12.648335662374995,19.22565820205261,12.648335662374995,18.697825573210046,17.659648305910906,13.286595638311233,19.22565820205261,13.286595638311233,18.697825573210046,16.430764536621663,17.186704739815518,17.942644943009363,0.4,0.0,0,0,0,0,0,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
127.0,2,16.588099280204055,13.823064951543751,13.823064951543751,13.823064951543751,13.823064951543751,17.007316230132204,19.834120171352808,17.778805668591694,12.648335662374995,12.648335662374995,16.582316297121903,19.834120171352808,17.778805668591694,13.286595638311233,13.286595638311233,16.1573163641116,17.256258314448722,17.637575323689862,17.52168363661458,0.8,0.0,1,0,0,1,0,0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106.0,4,17.216707939626428,13.823064951543751,16.239037071439956,15.818564858853073,13.823064951543751,13.823064951543751,18.307800693993475,18.307800693993475,16.929829855000914,18.307800693993475,18.307800693993475,17.633064889028766,17.627344634410328,17.032062444578568,18.307800693993475,18.307800693993475,17.941794048843516,18.124797371418488,18.124797371418488,0.4,1.0,0,0,1,0,1,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
170.0,1,17.909855120186375,17.413261407290126,16.443156323469573,17.849840838116407,13.823064951543751,17.178727943170944,17.413261407290126,17.16384419267647,17.601949457751637,12.648335662374995,17.601191193423453,17.935323726700247,17.46392227771708,17.849840838116407,15.886921440042475,17.256136218405274,17.256258314448722,18.139720774125312,17.054712091789973,0.0,1.0,1,0,0,0,0,1,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,1,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0
106.0,2,17.37085861945369,18.414899273413067,17.849840838116407,13.823064951543751,13.823064951543751,19.243978099758614,17.671130782947934,17.16477636732474,12.648335662374995,16.479711896533075,19.243978099758614,16.81844269781395,17.16477636732474,17.651897445757392,16.612072575007588,19.243978099758614,18.437012462450824,17.313081475457803,16.827317735164232,0.0,0.0,0,0,0,1,0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
130.0,1,17.875953568510692,19.905204191176257,13.823064951543751,13.823064951543751,13.823064951543751,13.823064951543751,18.59480096571962,12.648335662374995,12.648335662374995,12.648335662374995,18.337359511271,18.59480096571962,14.39846780218693,13.286595638311233,13.286595638311233,17.903382350269467,16.545974353903386,16.545974353903386,16.545974353903386,0.4,0.0,0,0,1,0,0,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106.0,2,17.942644943009363,18.3541427727058,13.823064951543751,16.309120904488786,17.034386382832476,13.823064951543751,18.3541427727058,17.06195221119169,17.19532188177434,17.034386382832476,12.648335662374995,17.641805987432033,17.000745591388487,18.262015033545183,17.034386382832476,13.286595638311233,17.256258314448722,18.620236468855413,17.930913037707374,0.4,1.0,1,0,0,1,0,0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1
78.0,1,17.281246460764002,16.860580464846727,16.85599939545853,13.546431700991352,13.823064951543751,13.823064951543751,17.934373164695092,16.85599939545853,16.73181264454895,12.648335662374995,12.648335662374995,17.698557791155842,17.119384780676256,16.73181264454895,13.286595638311233,13.286595638311233,16.047353500374427,16.047353500374427,16.047353500374427,0.2,0.0,0,1,0,1,0,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0
192.0,1,17.599700191882533,17.927982519395545,15.019173060021934,17.849840838116407,18.064176512342065,16.85599939545853,19.042411259668484,15.019173060021934,17.16477636732474,16.713501052771985,16.85599939545853,19.042411259668484,15.798769201632009,17.16477636732474,16.713501052771985,17.119384780676256,17.73317295210639,17.73317295210639,17.73317295210639,0.2,1.0,1,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,1,1
