feature,VIF
const,676.6715334224107
major,8.603999011297859
minor,8.529933524439233
medium,8.100122784918828
actor_logrev_of_past_5_years_0,7.583381983278738
actor_logrev_of_past_10_years_0,6.582281107319357
actor_logrev_of_past_5_years_1,6.415715639307228
actor_logrev_of_past_5_years_2,5.60687915223248
actor_logrev_of_past_5_years_3,5.433655426258708
actor_logrev_of_past_10_years_1,5.321512306407212
popular_genre,5.270249560531389
actor_logrev_of_past_5_years_4,5.044906498687102
actor_logrev_of_past_10_years_2,4.696695517061639
Drama,4.679966037582555
actor_logrev_of_past_10_years_3,4.41051139176274
director_logrev_of_past_5_years_0,4.191399165881901
actor_logrev_of_past_10_years_4,3.9070368355931397
director_logrev_of_past_10_years_0,3.5946622384848697
actor_logrev_of_past_2_years_0,2.6311380232283135
actor_logrev_of_past_2_years_1,2.517362201086988
actor_logrev_of_past_2_years_4,2.325732773385036
actor_is_top_100_of_past_5_years_0,2.3068473992282392
actor_logrev_of_past_2_years_2,2.3000335250025197
actor_logrev_of_past_2_years_3,2.248698145222518
log_budget_final,2.0879809560344507
actor_is_top_100_of_past_5_years_1,2.0633321891827743
actor_is_top_100_of_past_5_years_2,2.0172152509855885
actor_is_top_100_of_past_10_years_0,2.0023966426666977
actor_is_top_100_of_past_5_years_3,1.841888770375531
director_logrev_of_past_2_years_0,1.7699361661752766
runtime,1.7657759972940208
actor_is_top_100_of_past_5_years_4,1.7609621316112176
actor_is_top_100_of_past_10_years_1,1.7423378000362255
Family,1.7272514529935339
Crime,1.7169517047354486
Comedy,1.6927580957734638
director_is_top_50_of_past_5_years_0,1.6841659001811036
actor_is_top_100_of_past_10_years_2,1.6812399193163272
actor_is_top_100_of_past_10_years_3,1.6638123926092323
Thriller,1.6549948595284418
Action,1.624628863691331
actor_is_top_100_of_past_10_years_4,1.6187634971388039
Animation,1.5866582734514008
actor_is_top_100_of_past_2_years_2,1.5484499572237065
director_is_top_50_of_past_10_years_0,1.5400014734359726
actor_is_top_100_of_past_2_years_1,1.5139022088472796
Adventure,1.4903420618207037
actor_is_top_100_of_past_2_years_0,1.4869733205715623
Documentary,1.4425474103552511
Horror,1.4199516136903099
Mystery,1.4157644921380257
sequel,1.4154538963820376
actor_is_top_100_of_past_2_years_4,1.3599101793453234
actor_is_top_100_of_past_2_years_3,1.3495997155180297
Romance,1.2812269481533551
title_length,1.267394476344491
director_is_top_50_of_past_2_years_0,1.2617472243456533
has_oscar_winner,1.246485792333429
gender_score,1.2301179583779551
History,1.2278072706184258
Science Fiction,1.2029724485436843
War,1.202264894259434
Fantasy,1.1775871757729
first_in_collection,1.1462467382010317
Music,1.0526853203669249
Western,1.0378782560282827
Foreign,1.0263720480059626
TV Movie,1.0107220741910365
